1000,0.001,0.001,0.001,0.009
2000,0.001,0.004,0.004,0.037
3000,0.001,0.01,0.008,0.084
4000,0.002,0.017,0.016,0.15
5000,0.002,0.027,0.024,0.232
6000,0.002,0.039,0.034,0.335
7000,0.003,0.053,0.046,0.458
8000,0.003,0.069,0.061,0.601
9000,0.004,0.088,0.077,0.758
10000,0.005,0.11,0.096,0.929
11000,0.005,0.131,0.116,1.124
12000,0.006,0.155,0.139,1.346
13000,0.006,0.183,0.163,1.575
14000,0.006,0.212,0.19,1.831
15000,0.007,0.248,0.217,2.097
16000,0.007,0.28,0.251,2.408
17000,0.009,0.313,0.279,2.702
18000,0.009,0.355,0.315,3.071
19000,0.01,0.399,0.357,3.444
20000,0.011,0.446,0.388,3.772
21000,0.01,0.484,0.426,4.167
22000,0.011,0.525,0.467,4.53
23000,0.012,0.571,0.508,4.929
24000,0.013,0.623,0.555,5.362
25000,0.012,0.68,0.602,5.817
26000,0.014,0.729,0.65,6.291
27000,0.014,0.794,0.703,6.781
28000,0.014,0.845,0.753,7.306
29000,0.015,0.906,0.808,7.841
30000,0.016,0.973,0.867,8.387
