1000,0,0.001,0.001,0.001
2000,0.001,0.002,0.004,0.004
3000,0.001,0.005,0.008,0.01
4000,0.002,0.009,0.016,0.018
5000,0.003,0.013,0.023,0.028
6000,0.003,0.02,0.032,0.04
7000,0.004,0.026,0.045,0.054
8000,0.004,0.035,0.058,0.071
9000,0.005,0.043,0.075,0.089
10000,0.006,0.054,0.091,0.115
11000,0.005,0.07,0.13,0.137
12000,0.007,0.081,0.142,0.162
13000,0.006,0.092,0.154,0.187
14000,0.008,0.106,0.178,0.217
15000,0.008,0.123,0.204,0.249
16000,0.008,0.138,0.234,0.289
17000,0.009,0.16,0.264,0.329
18000,0.01,0.176,0.296,0.361
19000,0.01,0.195,0.333,0.402
20000,0.012,0.217,0.368,0.443
21000,0.011,0.239,0.405,0.486
22000,0.012,0.263,0.442,0.536
23000,0.012,0.287,0.487,0.59
24000,0.014,0.313,0.528,0.642
25000,0.013,0.337,0.576,0.696
26000,0.014,0.369,0.62,0.75
27000,0.015,0.394,0.666,0.808
28000,0.015,0.426,0.712,0.869
29000,0.017,0.457,0.77,0.93
30000,0.017,0.487,0.851,0.998
